dirid,fullname,ethnicity
192.0,J WILLARD MARRIOTT JR,Caucasian
193.0,RICHARD E. MARRIOTT,Caucasian
194.0,W. MITT ROMNEY,Caucasian
195.0,MARCUS C BENNETT,Caucasian
196.0,NORMAN R AUGUSTINE,Caucasian
198.0,RICHARD A. MANOOGIAN,Caucasian
201.0,RONALD M LOEB,Unknown
202.0,DAVID C FARRELL,Unknown
203.0,LEONARD A HADLEY,Caucasian
206.0,JAMES H BERICK,Unknown
207.0,BENJAMIN R CIVILETTI,Caucasian
208.0,RANDOLPH D LERNER,Unknown
209.0,ROBERT M. BEAVERS JR.,Caucasian
210.0,JAMES R CANTALUPO,Caucasian
211.0,JACK M. GREENBERG,Caucasian
212.0,MICHAEL R QUINLAN,Unknown
213.0,EDWARD H. RENSI,Caucasian
214.0,DONALD G. LUBIN,Caucasian
215.0,ANDREW J. MCKENNA,Caucasian
216.0,JOSEPH L DIONNE,Caucasian
217.0,HAROLD W. MCGRAW III,Caucasian
219.0,STEVEN C MASON,Caucasian
220.0,FRANK V CAHOUET,Caucasian
221.0,W. KEITH SMITH,Caucasian
222.0,STEPHEN L HAMMERMAN,Caucasian
223.0,AULANA L PETERS,African-American
224.0,LIVIO D DESIMONE,Caucasian
225.0,RONALD A MITSCH,Caucasian
226.0,LUCIO A NOTO,Caucasian
227.0,EUGENE A. RENNA,Caucasian
228.0,NICHOLAS L REDING,Caucasian
229.0,ROBERT B SHAPIRO,Unknown
231.0,PHILIP J PURCELL,Unknown
232.0,CAROL L BERNICK,Caucasian
233.0,RONALD L. SKATES,Caucasian
234.0,DUANE L BURNHAM,Caucasian
235.0,SOUTHWOOD J MORCOTT,Caucasian
236.0,ROBERT J ULRICH,Caucasian
237.0,LEONARD H LAVIN,Caucasian
238.0,HOWARD B. BERNICK,Caucasian
239.0,BERNICE E LAVIN,Caucasian
240.0,LAWRENCE A BOSSIDY,Caucasian
241.0,HANS W BECHERER,Caucasian
242.0,JOHN E. LOBBIA,Caucasian
243.0,LARRY G GARBERDING,Unknown
244.0,ALAN E SCHWARTZ,Caucasian
245.0,DRUE CORBUSIER,Caucasian
246.0,MIKE DILLARD,Caucasian
247.0,WILLIAM DILLARD II,Caucasian
248.0,JAMES I FREEMAN,Unknown
249.0,WILL D DAVIS,Unknown
250.0,WILLIAM H SUTTON,Caucasian
251.0,JOHN H. JOHNSON,Caucasian
252.0,MICHAEL D EISNER,Caucasian
253.0,RICHARD A NUNIS,Caucasian
258.0,GARY L. WILSON,Caucasian
259.0,THOMAS E CAPPS,Caucasian
260.0,GARY L. ROUBOS,Caucasian
262.0,THOMAS L REECE,Caucasian
263.0,JAMES L. KOLEY,Caucasian
264.0,FRANK P POPOFF,Caucasian
265.0,ENRIQUE C FALLA,Unknown
266.0,WILLIAM S STAVROPOULOS,Caucasian
267.0,JAMES H OTTAWAY JR,Caucasian
268.0,PETER R KANN,Caucasian
269.0,WILLIAM E. BRADFORD,Caucasian
270.0,RICHARD B PRIORY,Caucasian
271.0,WILLIAM H GRIGG,Unknown
272.0,J ATWOOD IVES,Caucasian
273.0,ALEXANDER M CUTLER,Caucasian
274.0,STEPHEN R. HARDIS,Caucasian
277.0,W BLOUNT,Caucasian
278.0,JOHN A COOPER JR,Caucasian
280.0,ROBERT VD LUFT,Caucasian
281.0,BISMARK A STEINHAGEN,Caucasian
282.0,JAMES R. NICHOLS,Caucasian
283.0,JAMES A JOHNSON,Caucasian
284.0,LAWRENCE M SMALL,Caucasian
288.0,ROBERT N BURT,Caucasian
