dirid,fullname,ethnicity
9245.0,CHRISTOPH KELLER III,Caucasian
9248.0,MARTY ALBERTSON,Unknown
9251.0,KARL ELLER,Unknown
9254.0,CATHERINE MACMILLAN,Caucasian
9256.0,ALAN SIEGEL,Unknown
9257.0,NORMAN SCHWARTZ,Unknown
9258.0,RAYMOND B GARY,Caucasian
9259.0,J DOWNEY BRIDGWATER,Caucasian
9262.0,DEVAL L PATRICK,
9265.0,NORMAN E. THAGARD,Caucasian
9270.0,BOYD L GEORGE,Unknown
9272.0,DAVID R VOELKER,Caucasian
9274.0,BRUCE M. GANS,Caucasian
9275.0,CHARLES B SCHOOLER,Caucasian
9276.0,JOHN ADAM KANAS,Unknown
9278.0,CECIL E. MARTIN JR.,Caucasian
9279.0,DAVID PREISER,Caucasian
9280.0,ROBERT W KAMPMEINERT,Caucasian
9281.0,BERNARD W. ARONSON,Caucasian
9284.0,RAYMOND B LANGTON,Unknown
9286.0,E FLOYD KVAMME,Caucasian
9287.0,STANLEY K TANGER,Unknown
9289.0,MARY CIRILLO,Caucasian
9293.0,RICHARD S. ELLWOOD,Caucasian
9294.0,DAVID N. CAMPBELL,Caucasian
9295.0,WARD B COE III,Unknown
9298.0,DEBRA J. KELLY-ENNIS,Caucasian
9300.0,KEITH BRADLEY,Caucasian
9305.0,THOMAS C WALKER,Unknown
9306.0,NORMAN AXELROD,Unknown
9312.0,M PETER MCPHERSON,Caucasian
9316.0,C BAKER CUNNINGHAM,Caucasian
9318.0,CHARLES H. NOSKI,Caucasian
9319.0,DAVID A. JONES,Caucasian
9322.0,JOSEPH E. CANON,Caucasian
9323.0,LYNNE B. SAGALYN,Caucasian
9324.0,PIER C. BORRA,Caucasian
9326.0,OLIVER SOCKWELL,African-American
9327.0,GALEN D. POWERS,Unknown
9328.0,JOHN P. FOLSOM,Caucasian
9329.0,MITCHEL D. LIVINGSTON,African-American
9333.0,J. MIKE WALKER,Unknown
9336.0,PATRICIA L. LANGIOTTI,Caucasian
9345.0,DAVID EI PYOTT,Caucasian
9346.0,A HIRSCHFELD,Caucasian
9351.0,B. FRANCIS SAUL III,Caucasian
9353.0,WILLIAM M JACKSON,Unknown
9354.0,THOMAS A BRICE,Unknown
9356.0,KLAUS P BESIER,Unknown
9359.0,STUART BONDURANT,Unknown
9361.0,PAUL R BUTRUS,Unknown
9363.0,ROBERT M HALPERIN,Unknown
9364.0,EDWARD E SUTKOWSKI,Caucasian
9366.0,TING Y. LIU,Asian
9368.0,"ROBERT C. ""ROBIN"" LOUDERMILK JR.",Caucasian
9378.0,ADAM M. ARON,Unknown
9379.0,HAROLD W. BURLINGAME,Caucasian
9380.0,THOMAS E. ROBINSON,Caucasian
9381.0,JOHN M. MCMAHON,Caucasian
9384.0,NICHOLAS A. DICERBO,Caucasian
9386.0,WILSON B SEXTON,Caucasian
9387.0,BARRY A SHOLEM,Caucasian
9392.0,D. KEITH ODEN,Caucasian
9393.0,C CLAYMON GRIMES JR,Caucasian
9395.0,MILTON E MCGREGOR,Unknown
9397.0,ANDRE VILLENEUVE,Caucasian
9398.0,STEVEN C POSEY,Unknown
9399.0,GEORGE MARTINEZ,Caucasian
9403.0,GEORGE C BIEHL,Unknown
9406.0,ALLEN H KORANDA,Caucasian
9407.0,JOEL S. BECKER,Caucasian
9408.0,C. ROBERT ROTH,Caucasian
9413.0,JOHN C NETTELS JR,Caucasian
9416.0,MICHAEL J LEVINTHAL,Unknown
9418.0,WILLIAM H. LAMBERT,Caucasian
9419.0,WILLIAM B. MITCHELL,Unknown
9420.0,GARY L. TAPELLA,Caucasian
9421.0,PETER J. NEFF,Caucasian
9424.0,H EARLE RUSSELL JR,Caucasian
9431.0,EDWARD M ROWELL,Unknown
9433.0,JAMES W. KEYES,Caucasian
9434.0,DAVID C WAKEFIELD III,Caucasian
9436.0,JOHN H MYERS,Unknown
9437.0,ROBERT C. HAWK,Unknown
9440.0,MICHAEL H. WELLES,Caucasian
9443.0,G. THOMAS WAITE III,Caucasian
9445.0,CRAIG MACNAB,Unknown
9447.0,BEN G STREETMAN,Unknown
9450.0,DAVID W. SLEDGE,Caucasian
9451.0,MARJORIE Z SOYUGENC,Caucasian
9453.0,STEPHEN L WAY,Unknown
9455.0,PETER M MARTIN,Caucasian
9457.0,GRAHAM T. ALLISON,Caucasian
9458.0,JOSEPH F. MCCARTNEY,Unknown
9462.0,DON L CHAPMAN,Caucasian
9464.0,RICHARD P KIPHART,Unknown
9467.0,CORTLANDT S DIETLER,Unknown
9473.0,A DERRILL CROWE,Unknown
9474.0,MARTIN TURCHIN,Caucasian
9475.0,HAROLD D KING,Unknown
9476.0,JUSTIN L. SULLIVAN,Caucasian
9478.0,EDWIN B. MORRIS III,Caucasian
9479.0,AUBREY B PATTERSON,Unknown
9484.0,WILLIAM B. CAMPBELL,Caucasian
9486.0,LAWRENCE SAPER,Caucasian
9488.0,MITCHELL G TYSON,Unknown
9492.0,RONALD PERELMAN,Caucasian
9495.0,LEWIS S RANIERI,Unknown
9496.0,GEOFFREY A. MOORE,Caucasian
9500.0,ELIZABETH T BILBY,Caucasian
9501.0,A. JAMES DEARLOVE,Caucasian
9502.0,ROBERT A. FINKENZELLER,Caucasian
9506.0,JOHN R. INGRAM,Caucasian
9510.0,DOUGLAS SCHNITZER,Caucasian
9514.0,CHARLES B MCELWEE,Unknown
9516.0,JAMES H STONE,Caucasian
9521.0,DALE F. KINSELLA,Caucasian
9522.0,JAMES D. KLINGBEIL,Caucasian
9524.0,FRANK HOLDING,Caucasian
9526.0,TERRY CONSIDINE,Unknown
9528.0,MICHAEL J BRADLEY,Unknown
9530.0,JERRY C MOYES,Caucasian
9532.0,RICHARD J. FAUBERT,Unknown
9534.0,ROBERT L. GERRY III,Caucasian
9536.0,DONALD F MOOREHEAD JR,Unknown
9539.0,DONALD R. CAMERON,Caucasian
9541.0,PAUL S. LATTANZIO,Caucasian
9543.0,JAMES R BORIS,Caucasian
9544.0,NELSON B. LEENHOUTS,Unknown
9545.0,MICHELE M. HUNT,African-American
9546.0,EDMUND C. KING,Caucasian
9548.0,HAROLD KLOOSTERMAN,Caucasian
9556.0,THOMAS H WITMER,Caucasian
9558.0,DOUGLAS H. HUNT,Caucasian
9559.0,ARTHUR H. KERN,Caucasian
9561.0,WILLIAM F CELLINI,Unknown
9565.0,J. RANDALL MACDONALD,Caucasian
9566.0,DONALD G. DRAPKIN,Caucasian
9568.0,JOHN P DRISCOLL,Unknown
9570.0,JAMES C. FLORES,Caucasian
9571.0,KENNETH N STENSBY,Caucasian
9574.0,H E DELOACH JR,Caucasian
9576.0,THOMAS J HAMMOND,Unknown
9581.0,JAMES J. PIECZYNSKI,Caucasian
9582.0,JAMES T. HACKETT,Caucasian
9583.0,JOHN M NAUGHTON,Unknown
9585.0,DEAN S ADLER,Caucasian
9586.0,ARTHUR J REMILLARD JR.,Unknown
9588.0,WILLIAM BROOKS,Caucasian
9590.0,JOHN RAU,Caucasian
9595.0,"DANIEL C STANZIONE, PH.D.",Caucasian
9597.0,JAMES P. ROEMER,Caucasian
9599.0,CHARLOTTE F. BEASON,African-American
9601.0,C BARTLETT JR.,Unknown
9603.0,LAWRENCE E WASHOW,Unknown
9604.0,ROBERT S. MORRISON,Caucasian
9605.0,ROBERT L KING,Unknown
9607.0,ROBERT G. ASTORG,Caucasian
9610.0,ROBERT D CADIEUX,Unknown
9611.0,JOHN MCKINNEY,Caucasian
9612.0,MARY L GOOD,Caucasian
9614.0,J ROBERT DICKERSON,Caucasian
9620.0,RENE R CHAMPAGNE,Caucasian
9621.0,RONALD G. GEARY,Caucasian
9623.0,R DEAN WOLFE,Caucasian
9624.0,M. JAMES BARRETT,Caucasian
9626.0,WILLIAM I. JACOBS,Caucasian
9631.0,ROBERT ORTENZIO,Caucasian
9635.0,MARVIN G SCHORR,Unknown
9637.0,STEVEN F. LEER,Caucasian
9642.0,CHARLES E. LANNON,Caucasian
9645.0,RAYMOND R. HIPP,Caucasian
9647.0,VICTOR J. COLEMAN,Caucasian
9649.0,PAUL M. DOUGAN,Unknown
9651.0,MICHAEL J. MAPLES SR.,Caucasian
9652.0,JAMES G GROSKLAUS,Unknown
9653.0,CHARLES A SCHWAN,Unknown
9657.0,ROBERT W HARRIS,Unknown
9659.0,MICHAEL W CARRIE,Unknown
9660.0,JOSEPH E REID,Caucasian
9661.0,CURTIS S WOZNIAK,Caucasian
9662.0,ERIC SCHIFFER,Unknown
9664.0,JOHN G CONNORS,Caucasian
9666.0,ALAN B GLASSBERG,Unknown
9668.0,M ALLISON,Caucasian
9670.0,MITCHELL I. QUAIN,Asian
9674.0,JAY D. BURCHFIELD,Caucasian
9676.0,RICHARD A MAGNUSON,Unknown
9680.0,THOMAS J FITZMYERS,Unknown
9681.0,MICHAEL R GALLAGHER,Caucasian
9682.0,GERALD D STEPHENS,Caucasian
9683.0,GEORGE F. COLONY,Caucasian
9684.0,WILLIAM A. MORAN,Caucasian
9686.0,LAWRENCE R. DICKERSON,Caucasian
9688.0,JACK L BOWMAN,Unknown
9689.0,ALLEN J. BERNSTEIN,Unknown
9693.0,JOHN J KUNKEL,Unknown
9694.0,LEE NEIBART,Caucasian
9698.0,RONALD W SAN MARTIN,Unknown
9699.0,BURTON B STANIAR,Caucasian
9701.0,ROBERT L BARBANELL,Caucasian
9702.0,RICHARD E. CARUSO,Caucasian
9703.0,VIRGINIA C LACY,Unknown
9705.0,RONALD R. HARDER,Caucasian
9707.0,STEPHEN B SIEGEL,Caucasian
9710.0,LEWIS H. JORDAN,Caucasian
9713.0,R. PHILIP SILVER,Caucasian
9718.0,HASSELL H. FRANKLIN,Caucasian
9721.0,CHARLES A. DILL,Caucasian
9725.0,"JOHN E. MAUPIN, JR., D.D.S.",African-American
9726.0,KENNETH C MLEKUSH,Caucasian
9727.0,STEVEN C. GOOD,Caucasian
9729.0,MATTHEW DOMINSKI,Caucasian
9731.0,MARK  GRIFFIN,Caucasian
9734.0,CHRISTIAN L ALLISON,Caucasian
9739.0,NOLAN LEHMANN,Unknown
9742.0,LAURA WALLACE,Unknown
9745.0,WILLIAM J MILLER,Unknown
9747.0,RONALD C. ELKINS,Caucasian
9751.0,JAY H. SHIDLER,Caucasian
9753.0,TIMOTHY GRAVEN,Caucasian
9754.0,BETSY D HOLDEN,Caucasian
9758.0,LOUIS H MASOTTI,Unknown
9759.0,CHARLES J. HINKATY,Caucasian
9761.0,CLARENCE H. RIDLEY,Caucasian
9762.0,JACK O. BOVENDER JR.,Caucasian
9763.0,RICHARD M ADAMS,Caucasian
9764.0,THOMAS E DOBROWSKI,Unknown
9768.0,CANNON Y HARVEY,Unknown
9769.0,THOMAS E. WIENER,Caucasian
9771.0,WILLIAM J LYNCH,Unknown
9772.0,RAYMOND J LAURING,Unknown
9773.0,JONATHAN M. SCHOFIELD,Caucasian
9775.0,GEORGE A. JOULWAN,Caucasian
9776.0,ALAN A STEIGROD,Unknown
9778.0,KEVIN R COMPTON,Unknown
9780.0,WENDELL L MOSELEY,Unknown
9783.0,"ROBERT C WARREN, JR.",Caucasian
9785.0,MICHAEL P. GLIMCHER,Caucasian
9786.0,ARTHUR A NOETH,Unknown
9787.0,JOHN ALEXANDER,Caucasian
9788.0,ROBERT W SCHARAR,Unknown
9792.0,RONALD V APRAHAMIAN,Unknown
9793.0,ALON GOREN,Unknown
9794.0,HENRY CISNEROS,Hispanic
9795.0,DOUGLAS E. SWANSON,Caucasian
9796.0,ANDREW E GOEBEL,Caucasian
9802.0,JEFFREY M WILKINS,Unknown
9804.0,GLEN E RONEY,Caucasian
9805.0,LLOYD BENTSEN III,Caucasian
9806.0,ALAN D SCHWARTZ,Unknown
9808.0,CLARENCE H. SMITH,Caucasian
9809.0,LISA A. PAYNE,Caucasian
9812.0,WILLIAM PURDY,Caucasian
9813.0,ARTHUR J REMILLARD III,Unknown
9818.0,ROGER HEINEN,Caucasian
9819.0,H SMOOT FAHLGREN,Caucasian
9821.0,JOE R KLUTTS,Caucasian
9823.0,WILLIAM C. PITT III,Caucasian
9824.0,JAMES J MAGUIRE,Caucasian
9825.0,C SCOTT GIBSON,Caucasian
9827.0,THOMAS M MCKENNA,Caucasian
9831.0,DENNIS R WRAASE,Caucasian
9835.0,WILLIAM F MILLER III,Unknown
9836.0,PETER J TANOUS,Unknown
9839.0,CONNIE R. CURRAN,Caucasian
9842.0,MARK J LEVIN,Unknown
9843.0,LEONARD F. HELBIG III,Caucasian
9845.0,MELVIN D BOOTH,Unknown
9846.0,TODD A. MILANO,Hispanic
9847.0,WILLIAM D GEHL,Caucasian
9849.0,MARK A WOLFSON,Caucasian
9851.0,FRANK S PTAK,Unknown
9852.0,T. WILLIAM PORTER,Caucasian
9857.0,JOHN R. EISENMAN,Caucasian
9859.0,STEVEN T. WARSHAW,Caucasian
9860.0,ALEJANDRO (ALEX) YEMENIDJIAN,Caucasian
9867.0,WENDELL G. VAN AUKEN,Caucasian
9868.0,LAWRENCE GLASCOTT,Unknown
9870.0,ERROL L. BIGGS,Caucasian
9875.0,KENNETH F. MYSZKA,Caucasian
9879.0,DAVID LOWENSTEIN,Unknown
9882.0,JULIE A HILL,Caucasian
9884.0,RALPH E. CRUMP,Caucasian
9888.0,GLENDA BASKIN GLOVER,African-American
9889.0,HOWARD I. HOFFEN,Caucasian
9890.0,STUART M ESSIG,Caucasian
9891.0,RAYMOND L. KILLIAN,Caucasian
9893.0,DANIEL JONES,Caucasian
9896.0,MICHAEL J EMMI,Caucasian
9897.0,THOMAS F. FRANKE,Caucasian
9900.0,BOB L MARTIN,Caucasian
9905.0,DONALD F. MAZZIOTTI,Caucasian
9906.0,JC BURTON,Unknown
9907.0,LORD LANG,Caucasian
9908.0,KEITH L. BARNES,Caucasian
9911.0,GERALD A. SPECTOR,Caucasian
9912.0,MITCHELL J. BLUTT,Caucasian
9913.0,DON COOK,Unknown
9916.0,MICHAEL B TARGOFF,Unknown
9919.0,MARK E MONROE,Caucasian
9923.0,MICHAEL J. BERENDT,Caucasian
9924.0,JAMES MARCUM,Caucasian
9929.0,COLIN V. REED,Caucasian
9930.0,WILLEM D MARIS,Unknown
9935.0,BARRINGTON H. BRANCH,Caucasian
9943.0,ROBERT HENIGSON,Unknown
9944.0,EDWARD A FOX,Caucasian
9947.0,MARIANNE BOYD JOHNSON,Caucasian
9948.0,STANLEY D STEARNS JR,Unknown
9950.0,MARCUS E BROMLEY,Unknown
9951.0,PENELOPE W. KYLE,Caucasian
9953.0,B. J. DUPLANTIS,Caucasian
9954.0,SHIRLEY A ZEITLIN,Caucasian
9961.0,NORMAND R MAROIS,Unknown
9963.0,SALLY W CRAWFORD,Unknown
9966.0,DANIEL C. ARNOLD,Caucasian
9967.0,MICHAEL A ELIA,Unknown
9970.0,ROBERT P. BADAVAS,Caucasian
9974.0,WILLIAM O CHRISTY,Unknown
9975.0,ROBERT J CLARK,Unknown
9976.0,MICHAEL T SMITH,Caucasian
9977.0,THOMAS G HUDSON,Caucasian
9978.0,WILLIAM BENTON,Caucasian
9979.0,THEODORE J FORSTMANN,Unknown
9982.0,G KIRK RAAB,Caucasian
9986.0,BARTHOLOMEW F PALMISANO SR,Caucasian
9988.0,HARRIS W HUDSON,Caucasian
9990.0,EUGENE F QUINN,Unknown
9992.0,JAMES N. PERRY JR.,Caucasian
9993.0,PAUL J TOBIN,Caucasian
9998.0,STEVEN J GOLDMAN,Unknown
9999.0,TYRONE F PIKE,Unknown
10000.0,ANDREW BATINOVICH,Unknown
10001.0,JACK M. FIELDS JR.,Caucasian
10005.0,JACK E MCCLEARY,Unknown
10006.0,EDWARD C. HUTCHESON JR.,Caucasian
10011.0,ERIC B. SIEGEL,Caucasian
10015.0,PETER K KOMPANIEZ,Unknown
10022.0,ROBERT M JELENIC,Caucasian
10024.0,DUANE R. KULLBERG,Caucasian
10026.0,LARRY R. CARTER,Caucasian
10030.0,STEPHEN B LAMSON,Unknown
10031.0,WILLIAM N SLOAN,Unknown
10032.0,EDWARD D BREEN,Caucasian
10034.0,D. KEITH GROSSMAN,Caucasian
10035.0,GURBACHAN SINGH,Unknown
10040.0,MACK I WHITTLE JR,Caucasian
10041.0,THOMAS A. DATTILO,Caucasian
10042.0,JOHN SCHNATTER,Caucasian
10043.0,ROGER T. KNOX,Caucasian
10045.0,LEWIS A. LEVEY,Caucasian
10049.0,WILLIAM GURLEY,Caucasian
10054.0,VAUGHN D BRYSON,Caucasian
10055.0,MAX CRISP,Caucasian
10057.0,MICHAEL D CASEY,Caucasian
10059.0,RICHARD A. VINROOT,Caucasian
10060.0,DAVID C PATTERSON,Unknown
10061.0,HENRIQUE DE CAMPOS MEIRELLES,Hispanic
10066.0,RICHARD B. JENNINGS,Unknown
10067.0,JOHN BUCKSBAUM,Caucasian
10068.0,DAVID L CHAPMAN,Unknown
10070.0,DONALD E. SAUNDERS,Caucasian
10071.0,CYNTHIA A ARCHER,Unknown
10072.0,"ROBERT S. ENGELMAN, JR.",Caucasian
10073.0,KENNETH E OLSON,Unknown
10078.0,STUART H. ALTMAN,Unknown
10085.0,ROBERT K COLE,Unknown
10086.0,GEORGE A. BORBA,Caucasian
10087.0,J. V. LENTELL,Caucasian
10088.0,CHRISTOPHER J NASSETTA,Caucasian
10089.0,JOHN W MCINTYRE,Unknown
10090.0,ERIC R GILER,Unknown
10091.0,TRUDE C TAYLOR,Unknown
10095.0,GARY KNIGHT,Caucasian
10096.0,MARK RICHARDS,Caucasian
10099.0,G NICHOLAS SPIVA,Caucasian
10100.0,M. JEANNINE STRANDJORD,Caucasian
10101.0,THOMAS P. SALICE,Caucasian
10103.0,MICHAEL R EISENSON,Unknown
10106.0,JOHN A MCNEILL JR.,Unknown
10107.0,NINA B MATIS,Unknown
10109.0,SAM N SHAHID JR,Unknown
10114.0,ANNE M MULCAHY,Caucasian
10117.0,MARK P MAYS,Caucasian
10121.0,STEPHEN L SANETTI,Caucasian
10126.0,BILL FAIRFIELD,Caucasian
10127.0,ROGER J. MEDEL,Hispanic
10129.0,EDWARD N PATRONE,Unknown
10133.0,STEVEN G. ANDERSON,Caucasian
10134.0,ARTHUR A. RUSS JR.,Caucasian
10135.0,JAN B. PACKWOOD,Caucasian
10140.0,DAVID C NOVAK,Caucasian
10145.0,WINSTON W. WALKER,Caucasian
10150.0,MILLARD PHELPS,Unknown
10151.0,MICHAEL D BLAIR,Unknown
10155.0,ROBERT L. SMIALEK,Caucasian
10156.0,BRIAN W. DUNHAM,Caucasian
10158.0,EDWARD LOWENTHAL,Unknown
10159.0,MARK E. NUNNELLY,Caucasian
10160.0,JOHN S. MOODY,Caucasian
10161.0,G.D. MADDEN,Caucasian
10163.0,RAWSON HAVERTY JR.,Caucasian
10165.0,ROBERT SMITH,Unknown
10166.0,ANDREW W CODE,Caucasian
10171.0,JOHN S. BRINZO,Caucasian
10172.0,ROY W. HALEY,Caucasian
10173.0,ISAAC KAUFMAN,Caucasian
10175.0,CARL S QUINN,Caucasian
10176.0,JOHN L TURNER,Unknown
10181.0,JOHN GATES,Caucasian
10187.0,DAVID A. SACHS,Caucasian
10192.0,SUSAN F. DAVIS,Caucasian
10194.0,T DOUGLAS,Unknown
10197.0,MARK LESLIE,Unknown
10202.0,RAJU KUCHERLAPATI,Unknown
10203.0,T DON STACY,Caucasian
10205.0,ROBERT J WASHLOW,Unknown
10208.0,RICHARD RAWSON,Caucasian
10214.0,DR HODO,Caucasian
10217.0,JOHN R D'EATHE,Unknown
10220.0,MARC S LIPSCHULTZ,Unknown
10224.0,JAMES S. OSTERMAN,Caucasian
10228.0,FREDRICK W PETRI,Unknown
10229.0,ROBERT F DIROMUALDO,Caucasian
10230.0,JOHN G. SCHREIBER,Caucasian
10233.0,JAMES D COLEMAN,Unknown
10234.0,ASHTON J RYAN JR,Caucasian
10236.0,JAMES A. THOMSON,Caucasian
10237.0,SANTO J. COSTA,Unknown
10238.0,EUGENE FREEDMAN,Caucasian
10240.0,JOHN H SCULLY,Unknown
10242.0,ROBERT E. HALLAGAN,Caucasian
10244.0,WILLIAM R KEANE,Caucasian
10246.0,JOHN W SPILLANE,Unknown
10250.0,BILLY G. MCCOY,Caucasian
10251.0,H GRANT HATHAWAY,Caucasian
10252.0,TERRY CHRISTENSEN,Unknown
10254.0,KEN R. BRAMLETT JR.,Caucasian
10255.0,GERARD M MARTIN,Unknown
10256.0,ANTON J CHRISTIANSON,Unknown
10257.0,MARK E. MLOTEK,Caucasian
10263.0,CESAR L ALVAREZ,Hispanic
10264.0,J DIX DRUCE JR,Caucasian
10265.0,EDWIN S OVERMAN,Caucasian
10267.0,DAVID A REED,Caucasian
10268.0,STEPHEN A MACDONALD,Unknown
10270.0,STEVEN DENNING,Caucasian
10277.0,JOHN T. GLOVER,Caucasian
10279.0,W ROGER HAUGHTON,Caucasian
10284.0,RUSSELL L ISAACS,Caucasian
10285.0,STEVEN J HISLOP,Caucasian
10287.0,MASSIMO FERRAGAMO,Unknown
10288.0,CHARLES RAYMOND FERNANDEZ,Hispanic
10290.0,PETER M STARRETT,Unknown
10298.0,JAMES E JORDAN,Unknown
10301.0,GEORGE F STAUDTER,Unknown
10303.0,ROBERT L PRIDDY,Unknown
10304.0,JOHN G. NIKKEL,Caucasian
10309.0,JOHN C MCGINTY JR.,Caucasian
10310.0,RUSSELL R. FRENCH,Caucasian
10312.0,MITCHELL S KARLAN,Unknown
10314.0,RONALD P GIBSON,Unknown
10317.0,PATRICK B COLLINS,Unknown
10318.0,WILLIAM A RENERT,Unknown
10319.0,LARRY S. FLAX,Unknown
10320.0,"TERRENCE ""TERRY"" L. WRIGHT",Caucasian
10321.0,THOMAS J BLAIR III,Caucasian
10322.0,JAMES V. DILLER SR.,Caucasian
10323.0,JAMES A. GABRIEL,Caucasian
10324.0,JAMES M MCNAMEE,Unknown
10326.0,BOB L. MOSS,Caucasian
10331.0,WILLIAM E. MCDONALD,Caucasian
10332.0,JAMES C. MCGRODDY,Caucasian
10336.0,TED COLLINS JR.,Caucasian
10337.0,DAVID MCKOWN,Caucasian
10338.0,WILLIAM E. MACAULAY,Caucasian
10345.0,RAY WIRTA,Caucasian
10346.0,ROBERT E REMMELL,Unknown
10350.0,JAMES W BARNES,Unknown
10353.0,JOSHUA BEKENSTEIN,Caucasian
10354.0,CHRISTINE L. STANDISH,Caucasian
10355.0,SUSAN S DENISON,Caucasian
10356.0,LEROY C. RICHIE,African-American
10358.0,DAVID J. ALDRICH,Caucasian
10361.0,EARL DOLIVE,Unknown
10365.0,JOHN E WALKER,Unknown
10372.0,DANIEL R. HESSE,Caucasian
10374.0,PETER R JOHNSON,Unknown
10376.0,RICHARD B ROBINSON,Unknown
10379.0,SCOTT M. SPERLING,Caucasian
10380.0,GREGG L. ENGLES,Caucasian
10384.0,HARRY L BUCH,Caucasian
10389.0,GERARD P MASTROIANNI,Caucasian
10396.0,THOMAS J DONOHUE,Caucasian
10398.0,JACQUELINE C. MORBY,Caucasian
10403.0,BARCLAY SIMPSON,Caucasian
10405.0,EDWARD CONARD,Unknown
10406.0,RONALD L NELSON,Caucasian
10407.0,MARK A. ADLEY,Other
10409.0,ANDREA JUNG,Asian
10413.0,IRVING SHAFRAN,Unknown
10414.0,CHRIS D WHEELER,Unknown
10415.0,W BROOKE TUNSTALL,Unknown
10417.0,TOM KARTSOTIS,Unknown
10418.0,WILLIAM J WARNER,Unknown
10419.0,R JACK APLIN,Unknown
10421.0,GEORGE ZIMMER,Caucasian
10422.0,JOHN M COOK,Caucasian
10428.0,JOHN B KILROY SR.,Caucasian
10431.0,JOHN R MUSE,Caucasian
10432.0,STEVEN PALADINO,Caucasian
10433.0,HOWARD GOLD,Unknown
10436.0,JAMES T SCHRAITH,Unknown
10440.0,JANE P HELM,Caucasian
10441.0,FRANK S. MCGAUGHEY III,Caucasian
10445.0,RICHARD REISS JR.,Caucasian
10449.0,PETER WU,Asian
10450.0,O. BRUTON SMITH,Caucasian
10453.0,ALBERT Y YU,Asian
10455.0,STUART J. SCHWARTZ,Caucasian
10456.0,J. DANIEL COLE,Caucasian
10457.0,CRAIG A DAVIS,Caucasian
10458.0,JAMES J TRUCHARD,Caucasian
10463.0,WILLIAM E CLARK JR.,Caucasian
10464.0,MARLIESE E. MOONEY,Caucasian
10467.0,JAN RASK,Caucasian
10469.0,JOSEPH S. HARDIN JR.,Caucasian
10472.0,DAVID JP MEACHIN,Caucasian
10473.0,THOMAS R SHEPHERD,Unknown
10475.0,WILLIAM WOOD,Caucasian
10482.0,MICHAEL L. RAY,Unknown
10484.0,SHARON L. NELSON,Caucasian
10487.0,DAVID H. GUNNING,Caucasian
10490.0,FREDERICK W PHEASEY,Unknown
10491.0,STUART I GREENBAUM,Unknown
10493.0,NEAL C HANSEN,Caucasian
10499.0,JAMES J BAUMBERGER,Caucasian
10500.0,EUGENE R. CORASANTI,Unknown
10502.0,DAVID P. YEAGER,Caucasian
10505.0,JONAH SHACKNAI,Caucasian
10509.0,JERRY L FIDDLER,Unknown
10511.0,DONALD J ZUK,Unknown
10512.0,HARVEY ROSENTHAL,Unknown
10513.0,KATHRYN JO LINCOLN,Caucasian
10518.0,EDWARD T COTE,Unknown
10519.0,NORMAN J. METCALFE,Caucasian
10520.0,PHILIP J HICKEY JR,Unknown
10521.0,FRANK J HEVRDEJS,Unknown
10525.0,ELIYAHU AYALON,Unknown
10526.0,BARTON D WEISMAN,Unknown
10529.0,FREDERICK F. BUCHHOLZ,Caucasian
10530.0,SCOTT RUED,Caucasian
10531.0,JAMES C. SELEY,Caucasian
10533.0,PHILLIP CALDWELL,Unknown
10534.0,JOE D CRIDER,Unknown
10538.0,RICHARD E SCHMIDT,Unknown
10541.0,THOMAS C.T. CHIU,Asian
10542.0,MARK K MASON,Unknown
10543.0,DAVID R GRENON,Unknown
10545.0,RICHARD HANDLER,Caucasian
10546.0,JOHN H. WILLIAMS,Caucasian
10548.0,CHRISTOPHER B. PAISLEY,Caucasian
10549.0,G EARLE WIGHT,Unknown
10550.0,WILLIAM G ANDERSON,Unknown
10553.0,ROBERT ATTEA,Caucasian
10554.0,MICHAEL J. HARTNETT,Caucasian
10555.0,RONALD D SCHMIDT,Unknown
10556.0,FREDERICK W GLUCK,Caucasian
10557.0,HOWARD E CHASE,Unknown
10560.0,WILLIS T KING JR,Unknown
10561.0,LEWIS E. EPLEY JR.,Unknown
10562.0,LESTER B. KNIGHT,Caucasian
10563.0,EDWARD J KFOURY,Unknown
10565.0,ROBERT W. PANGIA,Caucasian
10570.0,AMNON LANDAN,Caucasian
10572.0,BRIAN E BOYLE,Caucasian
10575.0,BEN SCHWARTZ,Unknown
10576.0,CHARLES A. RATNER,Caucasian
10578.0,MURRAY L. SKALA,Caucasian
10583.0,RODERICK BATY,Caucasian
10590.0,WOLFGANG SCHOELLKOPF,Caucasian
10592.0,D. GREG HORRIGAN,Caucasian
10593.0,ISAAC PERLMUTTER,Caucasian
10598.0,WILLIAM S HUMMERS III,Caucasian
10599.0,JAMES J KROPID,Unknown
10606.0,JOHN E DEAN,Caucasian
10607.0,SIDNEY E. HARRIS,African-American
10608.0,WAYNE H BRUNETTI,Caucasian
10609.0,KENNETH R ROSSANO,Unknown
10612.0,JOEL MARCUS,Caucasian
10613.0,THOMAS F. GROJEAN,Unknown
10615.0,RAIMUNDO E RIOJAS,Hispanic
10616.0,PAUL MARCIANO,Unknown
10619.0,PETER H. VAN OPPEN,Caucasian
10620.0,WENDELL J SMITH,Unknown
10629.0,JOSEPH CORASANTI,Caucasian
10630.0,J NIEBLA,Caucasian
10638.0,JOHN G. PERENCHIO,Caucasian
10641.0,REINHOLD A ULLRICH,Unknown
10644.0,DONALD J. KABAT,Caucasian
10648.0,HARVEY A WEINBERG,Unknown
